"","Species","station_id","detections"
"1","lynx","cam_002",1
"2","lynx","cam_007",15
"3","lynx","cam_016",3
"4","lynx","cam_019",1
"5","lynx","cam_024",1
"6","lynx","cam_025",1
"7","lynx","cam_032",3
"8","lynx","cam_033",1
"9","lynx","cam_039",1
"10","lynx","cam_043",2
"11","lynx","cam_051",1
"12","lynx","cam_055",1
"13","lynx","cam_056",1
"14","lynx","cam_058",1
"15","lynx","cam_071",1
"16","lynx","cam_077",2
"17","lynx","cam_083",8
"18","lynx","cam_084",3
"19","lynx","cam_090",2
"20","lynx","cam_091",3
"21","lynx","cam_092",4
"22","lynx","cam_093",8
"23","lynx","cam_094",3
"24","lynx","cam_095",1
"25","lynx","cam_096",15
"26","lynx","cam_097",7
"27","lynx","cam_098",1
"28","lynx","cam_101",1
"29","lynx","cam_102",13
"30","lynx","cam_103",3
"31","lynx","cam_104",2
"32","lynx","cam_105",3
"33","lynx","cam_108",3
"34","lynx","cam_110",3
"35","lynx","cam_115",1
"36","lynx","cam_116",1
"37","lynx","cam_117",8
"38","lynx","cam_118",3
"39","lynx","cam_119",1
"40","lynx","cam_122",3
"41","lynx","cam_123",7
"42","lynx","cam_124",10
"43","lynx","cam_126",7
"44","lynx","cam_128",2
"45","lynx","cam_129",11
"46","lynx","cam_130",5
"47","lynx","cam_131",11
"48","lynx","cam_132",1
"49","lynx","cam_133",12
"50","lynx","cam_135",4
"51","lynx","cam_136",8
"52","lynx","cam_137",3
"53","lynx","cam_138",3
"54","lynx","cam_139",21
"55","lynx","cam_140",3
"56","lynx","cam_143",3
"57","lynx","cam_144",19
"58","lynx","cam_145",3
"59","lynx","cam_146",11
"60","lynx","cam_147",1
"61","lynx","cam_148",2
"62","lynx","cam_149",10
"63","lynx","cam_150",1
"64","lynx","cam_152",1
"65","lynx","cam_157",15
"66","lynx","cam_166",3
"67","lynx","cam_169",1
"68","lynx","cam_174",1
"69","lynx","cam_175",1
"70","snowshoe_hare","cam_007",102
"71","snowshoe_hare","cam_013",3
"72","snowshoe_hare","cam_017",29
"73","snowshoe_hare","cam_024",1
"74","snowshoe_hare","cam_029",50
"75","snowshoe_hare","cam_030",83
"76","snowshoe_hare","cam_032",90
"77","snowshoe_hare","cam_042",8
"78","snowshoe_hare","cam_043",1
"79","snowshoe_hare","cam_047",3
"80","snowshoe_hare","cam_048",13
"81","snowshoe_hare","cam_049",8
"82","snowshoe_hare","cam_053",1
"83","snowshoe_hare","cam_054",4
"84","snowshoe_hare","cam_058",1
"85","snowshoe_hare","cam_067",2
"86","snowshoe_hare","cam_068",1
"87","snowshoe_hare","cam_073",2
"88","snowshoe_hare","cam_078",33
"89","snowshoe_hare","cam_079",1
"90","snowshoe_hare","cam_083",15
"91","snowshoe_hare","cam_084",3
"92","snowshoe_hare","cam_089",2
"93","snowshoe_hare","cam_090",40
"94","snowshoe_hare","cam_091",12
"95","snowshoe_hare","cam_092",23
"96","snowshoe_hare","cam_093",276
"97","snowshoe_hare","cam_094",150
"98","snowshoe_hare","cam_095",45
"99","snowshoe_hare","cam_096",35
"100","snowshoe_hare","cam_097",11
"101","snowshoe_hare","cam_098",34
"102","snowshoe_hare","cam_099",22
"103","snowshoe_hare","cam_100",4
"104","snowshoe_hare","cam_101",2
"105","snowshoe_hare","cam_102",144
"106","snowshoe_hare","cam_103",98
"107","snowshoe_hare","cam_104",19
"108","snowshoe_hare","cam_105",10
"109","snowshoe_hare","cam_106",1
"110","snowshoe_hare","cam_107",74
"111","snowshoe_hare","cam_108",25
"112","snowshoe_hare","cam_109",2
"113","snowshoe_hare","cam_110",86
"114","snowshoe_hare","cam_111",49
"115","snowshoe_hare","cam_114",5
"116","snowshoe_hare","cam_115",27
"117","snowshoe_hare","cam_116",6
"118","snowshoe_hare","cam_117",154
"119","snowshoe_hare","cam_118",89
"120","snowshoe_hare","cam_120",43
"121","snowshoe_hare","cam_121",95
"122","snowshoe_hare","cam_122",4
"123","snowshoe_hare","cam_123",60
"124","snowshoe_hare","cam_124",43
"125","snowshoe_hare","cam_125",71
"126","snowshoe_hare","cam_126",88
"127","snowshoe_hare","cam_127",17
"128","snowshoe_hare","cam_128",36
"129","snowshoe_hare","cam_129",117
"130","snowshoe_hare","cam_130",78
"131","snowshoe_hare","cam_131",207
"132","snowshoe_hare","cam_132",39
"133","snowshoe_hare","cam_133",26
"134","snowshoe_hare","cam_134",67
"135","snowshoe_hare","cam_135",97
"136","snowshoe_hare","cam_136",18
"137","snowshoe_hare","cam_137",8
"138","snowshoe_hare","cam_138",2
"139","snowshoe_hare","cam_139",397
"140","snowshoe_hare","cam_140",42
"141","snowshoe_hare","cam_142",4
"142","snowshoe_hare","cam_143",16
"143","snowshoe_hare","cam_144",38
"144","snowshoe_hare","cam_145",6
"145","snowshoe_hare","cam_146",43
"146","snowshoe_hare","cam_147",20
"147","snowshoe_hare","cam_148",33
"148","snowshoe_hare","cam_149",86
"149","snowshoe_hare","cam_157",102
"150","snowshoe_hare","cam_163",3
"151","snowshoe_hare","cam_167",29
"152","snowshoe_hare","cam_174",1
"153","snowshoe_hare","cam_179",50
"154","snowshoe_hare","cam_180",83
